ご厚意 (ごこうい)
ご厚志 (ごこうし)
ご厚情 (ごこうじょう)
護国 (ごこく)
後妻 (ごさい)
ご質問 (ごしつもん)
ご指導 (ごしどう)
ご招待 (ごしょうたい)
ご承知 (ごしょうち)
護身 (ごしん)
護持 (ごじ)
ご先祖 (ごせんぞ)
護送 (ごそう)
ご破算 (ごはさん)
ご報告 (ごほうこく)
ご理解 (ごりかい)
ご利益 (ごりやく)
再演 (さいえん)
再会 (さいかい)
再開 (さいかい)
災害 (さいがい)
再帰 (さいき)
再起 (さいき)
採決 (さいけつ)
採血 (さいけつ)
再建 (さいけん)
再現 (さいげん)
際限 (さいげん)
再興 (さいこう)
再考 (さいこう)
採鉱 (さいこう)
再三 (さいさん)
採算 (さいさん)
妻子 (さいし)
採取 (さいしゅ)
採集 (さいしゅう)
最小限 (さいしょうげん)
再生 (さいせい)
再製 (さいせい)
採石 (さいせき)
再選 (さいせん)
再送 (さいそう)
妻帯 (さいたい)
最大限 (さいだいげん)
最低限 (さいていげん)
最適 (さいてき)
採点 (さいてん)
再投入 (さいとうにゅう)
再度 (さいど)
再読 (さいどく)
再任 (さいにん)
再燃 (さいねん)
才能 (さいのう)
再発 (さいはつ)
再犯 (さいはん)
財布 (さいふ)
再編 (さいへん)
採用 (さいよう)
再来 (さいらい)
採録 (さいろく)
差益 (さえき)
境目 (さかいめ)
逆立 (さかだち)
逆立ち (さかだち)
逆手 (さかて)
差額 (さがく)
先程 (さきほど)
作製 (さくせい)
桜貝 (さくらがい)
査察 (ささつ)
査証 (さしょう)
差損 (さそん)
査定 (さてい)
査読 (さどく)
然程 (さほど)
作務衣 (さむえ)
査問 (さもん)
再来月 (さらいげつ)
再来週 (さらいしゅう)
再来年 (さらいねん)
賛意 (さんい)
賛歌 (さんか)
酸化 (さんか)
参賀 (さんが)
山河 (さんが)
産額 (さんがく)
散在 (さんざい)
散財 (さんざい)
賛辞 (さんじ)
算術 (さんじゅつ)
賛助 (さんじょ)
参政 (さんせい)
賛成 (さんせい)
酸性 (さんせい)
酸素 (さんそ)
賛同 (さんどう)
賛美 (さんび)
賛美歌 (さんびか)
産婦人科 (さんふじんか)
散布 (さんぷ)
産婦 (さんぷ)
酸味 (さんみ)
三文判 (さんもんばん)
罪悪 (ざいあく)
在位 (ざいい)
財貨 (ざいか)
財界 (ざいかい)
在外 (ざいがい)
在学 (ざいがく)
在京 (ざいきょう)
財形 (ざいけい)
財経 (ざいけい)
在庫 (ざいこ)
在校 (ざいこう)
財産 (ざいさん)
材質 (ざいしつ)
在所 (ざいしょ)
在職 (ざいしょく)
在住 (ざいじゅう)
罪状 (ざいじょう)
財政 (ざいせい)
財団 (ざいだん)
財団法人 (ざいだんほうじん)
在日 (ざいにち)
在任 (ざいにん)
罪人 (ざいにん)
財務 (ざいむ)
在来 (ざいらい)
在留 (ざいりゅう)
財力 (ざいりょく)
雑貨 (ざっか)
雑記 (ざっき)
雑居 (ざっきょ)
雑種 (ざっしゅ)
雑食 (ざっしょく)
雑草 (ざっそう)
雑多 (ざった)
雑費 (ざっぴ)
雑報 (ざっぽう)
雑益 (ざつえき)
雑音 (ざつおん)
雑学 (ざつがく)
雑事 (ざつじ)
雑然 (ざつぜん)
雑談 (ざつだん)
雑念 (ざつねん)
雑文 (ざつぶん)
雑務 (ざつむ)
雑用 (ざつよう)
残額 (ざんがく)
残像 (ざんぞう)
残務 (ざんむ)
残余 (ざんよ)
残留 (ざんりゅう)
飼育 (しいく)
死因 (しいん)
市営 (しえい)
市価 (しか)
資格 (しかく)
志学 (しがく)
志願 (しがん)
識者 (しきしゃ)
色素 (しきそ)
識別 (しきべつ)
支給 (しきゅう)
支局 (しきょく)
資金 (しきん)
志向 (しこう)
資産 (しさん)
資材 (しざい)
資質 (ししつ)
支社 (ししゃ)
支社長 (ししゃちょう)
支出 (ししゅつ)
支所 (ししょ)
師事 (しじ)
指示 (しじ)
支持 (しじ)
示準 (しじゅん)
市制 (しせい)
市政 (しせい)
支線 (しせん)
四則 (しそく)
支度 (したく)
舌足らず (したたらず)
師団 (しだん)
質草 (しちぐさ)
質屋 (しちや)
支柱 (しちゅう)
